class,method,ATFD,ATLD,Error
Optional[org.junit.internal.runners.SuiteMethod],testFromSuiteMethod,getCause java.lang.reflect.InvocationTargetException | getMethod java.lang.Class | isStatic java.lang.reflect.Modifier | getModifiers java.lang.reflect.Method | getName java.lang.Class | invoke java.lang.reflect.Method | ,,
Optional[org.junit.runners.Suite],emptySuite,,,
Optional[org.junit.runners.Suite],getAnnotatedClasses,getAnnotation java.lang.Class | format java.lang.String | getName java.lang.Class | ,,value unsupportedoperation | 
Optional[org.junit.runners.Suite],getChildren,,,
Optional[org.junit.runners.Suite],describeChild,getDescription org.junit.runner.Runner | ,,
Optional[org.junit.runners.Suite],runChild,run org.junit.runner.Runner | ,,
Optional[org.junit.internal.requests.ClassRequest],createRunner,safeRunnerForClass org.junit.runners.model.RunnerBuilder | ,,
Optional[junit.textui.TestRunner],run,,run junit.textui.TestRunner | ,
Optional[junit.textui.TestRunner],run,,doRun junit.textui.TestRunner | ,
Optional[junit.textui.TestRunner],runAndWait,,doRun junit.textui.TestRunner | ,
Optional[junit.textui.TestRunner],testFailed,,,
Optional[junit.textui.TestRunner],testStarted,,,
Optional[junit.textui.TestRunner],testEnded,,,
Optional[junit.textui.TestRunner],createTestResult,,,
Optional[junit.textui.TestRunner],doRun,,doRun junit.textui.TestRunner | ,
Optional[junit.textui.TestRunner],doRun,addListener junit.framework.TestResult | currentTimeMillis java.lang.System | run junit.framework.Test | currentTimeMillis java.lang.System | print junit.textui.ResultPrinter | ,createTestResult junit.textui.TestRunner | pause junit.textui.TestRunner | ,
Optional[junit.textui.TestRunner],pause,printWaitPrompt junit.textui.ResultPrinter | read java.io.InputStream | ,,
Optional[junit.textui.TestRunner],main,println java.io.PrintStream | getMessage java.lang.Throwable | exit java.lang.System | wasSuccessful junit.framework.TestResult | exit java.lang.System | exit java.lang.System | ,start junit.textui.TestRunner | ,
Optional[junit.textui.TestRunner],start,equals java.lang.String | equals java.lang.String | equals java.lang.String | equals java.lang.String | println java.io.PrintStream | id junit.runner.Version | lastIndexOf java.lang.String | substring java.lang.String | substring java.lang.String | extractClassName junit.runner.BaseTestRunner | equals java.lang.String | equals java.lang.String | getTest junit.runner.BaseTestRunner | ,runSingleMethod junit.textui.TestRunner | doRun junit.textui.TestRunner | ,
Optional[junit.textui.TestRunner],runSingleMethod,asSubclass java.lang.Class | loadSuiteClass junit.runner.BaseTestRunner | createTest junit.framework.TestSuite | ,doRun junit.textui.TestRunner | ,
Optional[junit.textui.TestRunner],runFailed,println java.io.PrintStream | exit java.lang.System | ,,
Optional[junit.textui.TestRunner],setPrinter,,,
Optional[org.junit.internal.management.RuntimeMXBean],getInputArguments,,,
Optional[org.junit.internal.runners.MethodRoadie],run,isIgnored org.junit.internal.runners.TestMethod | fireTestIgnored org.junit.runner.notification.RunNotifier | fireTestStarted org.junit.runner.notification.RunNotifier | fireTestFinished org.junit.runner.notification.RunNotifier | getTimeout org.junit.internal.runners.TestMethod | ,runTest org.junit.internal.runners.MethodRoadie | runWithTimeout org.junit.internal.runners.MethodRoadie | ,
Optional[org.junit.internal.runners.MethodRoadie],runWithTimeout,newSingleThreadExecutor java.util.concurrent.Executors | submit java.util.concurrent.ExecutorService | shutdown java.util.concurrent.ExecutorService | awaitTermination java.util.concurrent.ExecutorService | shutdownNow java.util.concurrent.ExecutorService | get java.util.concurrent.Future | ,runBeforesThenTestThenAfters org.junit.internal.runners.MethodRoadie | runTestMethod org.junit.internal.runners.MethodRoadie | addFailure org.junit.internal.runners.MethodRoadie | addFailure org.junit.internal.runners.MethodRoadie | ,
Optional[org.junit.internal.runners.MethodRoadie],runTest,,runBeforesThenTestThenAfters org.junit.internal.runners.MethodRoadie | runTestMethod org.junit.internal.runners.MethodRoadie | ,
Optional[org.junit.internal.runners.MethodRoadie],runBeforesThenTestThenAfters,run java.lang.Runnable | ,runAfters org.junit.internal.runners.MethodRoadie | runBefores org.junit.internal.runners.MethodRoadie | ,
Optional[org.junit.internal.runners.MethodRoadie],runTestMethod,getTargetException java.lang.reflect.InvocationTargetException | expectsException org.junit.internal.runners.TestMethod | isUnexpected org.junit.internal.runners.TestMethod | getName java.lang.Class | getExpectedException org.junit.internal.runners.TestMethod | getName java.lang.Class | getClass java.lang.Object | invoke org.junit.internal.runners.TestMethod | expectsException org.junit.internal.runners.TestMethod | getName java.lang.Class | getExpectedException org.junit.internal.runners.TestMethod | ,addFailure org.junit.internal.runners.MethodRoadie | addFailure org.junit.internal.runners.MethodRoadie | addFailure org.junit.internal.runners.MethodRoadie | addFailure org.junit.internal.runners.MethodRoadie | ,
Optional[org.junit.internal.runners.MethodRoadie],runBefores,getTargetException java.lang.reflect.InvocationTargetException | getBefores org.junit.internal.runners.TestMethod | invoke java.lang.reflect.Method | ,addFailure org.junit.internal.runners.MethodRoadie | ,
Optional[org.junit.internal.runners.MethodRoadie],runAfters,getAfters org.junit.internal.runners.TestMethod | getTargetException java.lang.reflect.InvocationTargetException | invoke java.lang.reflect.Method | ,addFailure org.junit.internal.runners.MethodRoadie | addFailure org.junit.internal.runners.MethodRoadie | ,
Optional[org.junit.internal.runners.MethodRoadie],addFailure,fireTestFailure org.junit.runner.notification.RunNotifier | ,,
Optional[junit.framework.TestFailure],failedTest,,,
Optional[junit.framework.TestFailure],thrownException,,,
Optional[junit.framework.TestFailure],toString,getMessage java.lang.Throwable | ,,
Optional[junit.framework.TestFailure],trace,getStacktrace org.junit.internal.Throwables | ,thrownException junit.framework.TestFailure | ,
Optional[junit.framework.TestFailure],exceptionMessage,getMessage java.lang.Throwable | ,thrownException junit.framework.TestFailure | ,
Optional[junit.framework.TestFailure],isFailure,,thrownException junit.framework.TestFailure | ,
Optional[org.junit.internal.runners.model.EachTestNotifier],addFailure,fireTestFailure org.junit.runner.notification.RunNotifier | ,addMultipleFailureException org.junit.internal.runners.model.EachTestNotifier | ,
Optional[org.junit.internal.runners.model.EachTestNotifier],addMultipleFailureException,getFailures org.junit.runners.model.MultipleFailureException | ,addFailure org.junit.internal.runners.model.EachTestNotifier | ,
Optional[org.junit.internal.runners.model.EachTestNotifier],addFailedAssumption,fireTestAssumptionFailed org.junit.runner.notification.RunNotifier | ,,
Optional[org.junit.internal.runners.model.EachTestNotifier],fireTestFinished,fireTestFinished org.junit.runner.notification.RunNotifier | ,,
Optional[org.junit.internal.runners.model.EachTestNotifier],fireTestStarted,fireTestStarted org.junit.runner.notification.RunNotifier | ,,
Optional[org.junit.internal.runners.model.EachTestNotifier],fireTestIgnored,fireTestIgnored org.junit.runner.notification.RunNotifier | ,,
Optional[org.junit.internal.runners.model.EachTestNotifier],fireTestSuiteStarted,fireTestSuiteStarted org.junit.runner.notification.RunNotifier | ,,
Optional[org.junit.internal.runners.model.EachTestNotifier],fireTestSuiteFinished,fireTestSuiteFinished org.junit.runner.notification.RunNotifier | ,,
Optional[org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParameters],createTest,,getInjectionType org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParameters | createTestUsingConstructorInjection org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParameters | createTestUsingFieldInjection org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParameters | ,
Optional[org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParameters],createTestUsingConstructorInjection,newInstance java.lang.reflect.Constructor | getOnlyConstructor org.junit.runners.model.TestClass | getTestClass org.junit.runners.ParentRunner | ,,
